,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
330,401,SBST,1,TRUNK,84009,84009,-,21-25,25-26,25-27,Fort Rd
331,402,SBST,1,TRUNK,03239,03239,08-13,11-18,13-18,15-17,Marina Coastal Dr
332,405,SBST,1,TRUNK,22009,22009,22-22,25-26,-,-,Old Choa Chu Kang Rd
333,410,SBST,1,FEEDER,53009,53009,05-06,05-10,04-05,04-12,Shunfu Rd
334,410,SBST,2,FEEDER,53009,53009,05-06,05-12,06-06,06-14,Shunfu Rd
335,410G,SBST,1,FEEDER,53009,53009,05-07,06-12,06-07,06-14,Shunfu Rd
336,410W,SBST,1,FEEDER,53009,53009,05-06,05-10,04-05,04-12,Shunfu Rd
337,42,SBST,1,TRUNK,83321,83321,09-11,09-19,10-15,08-18,Fidelio St
338,45,SBST,1,TRUNK,94009,55009,08-16,08-18,08-13,08-18,
339,45,SBST,2,TRUNK,55009,94009,11-14,08-19,08-10,16-18,
340,45A,SBST,1,TRUNK,63291,62139,26-27,-,-,-,
341,46,SBST,1,TRUNK,94009,75009,12-12,13-15,12-12,12-16,
342,46,SBST,2,TRUNK,75009,94009,12-12,14-15,12-15,12-16,
343,47,SBST,1,TRUNK,97009,97009,09-10,09-13,10-10,12-14,Amber Rd
344,48,SBST,1,TRUNK,84431,11379,06-09,07-17,11-13,13-19,
345,48,SBST,2,TRUNK,11379,84299,10-13,09-16,08-17,14-18,
346,4N,SBST,1,NIGHT SERVICE,02099,78059,-,-,-,40-40,
347,5,SBST,1,TRUNK,77009,10009,06-14,07-17,12-14,12-18,
348,5,SBST,2,TRUNK,10009,77009,09-13,09-16,08-16,11-17,
349,50,SBST,1,TRUNK,53009,65009,08-13,09-13,10-13,12-15,
350,50,SBST,2,TRUNK,65009,53009,08-14,10-14,11-15,12-13,
351,502,SBST,1,EXPRESS,22609,22609,15-15,13-22,11-22,18-22,Central Blvd
352,502A,SBST,1,EXPRESS,22609,03529,20-20,-,-,-,
353,506,SBST,1,EXPRESS,28009,94009,12-15,12-22,16-24,19-24,
354,506,SBST,2,EXPRESS,94009,28009,15-19,14-22,13-18,19-21,
355,51,SBST,1,TRUNK,64009,28009,10-11,08-19,11-13,12-15,
356,51,SBST,2,TRUNK,28009,64009,12-14,09-17,08-16,10-16,
357,513,SBST,1,EXPRESS,75129,03218,07-08,-,-,-,
358,513,SBST,2,EXPRESS,03222,75121,-,-,15-15,-,
359,51A,SBST,1,TRUNK,28009,20191,-,-,-,17-17,
360,52,SBST,1,TRUNK,53009,28009,09-13,09-16,11-13,13-15,
361,52,SBST,2,TRUNK,28009,53009,08-16,10-17,11-20,14-19,
362,53,SBST,1,TRUNK,53009,53009,07-11,05-11,06-12,09-12,PTB2 Basement
363,53A,SBST,1,TRUNK,77289,95129,-,-,-,-,PTB2 Basement
364,53M,SBST,1,TRUNK,63261,63269,6-17,4-25,7-22,5-23,S'goon Ctrl
365,54,SBST,1,TRUNK,53009,10499,10-15,11-15,13-15,12-15,
366,54,SBST,2,TRUNK,10499,53009,13-19,10-15,11-18,11-18,
367,55,SBST,1,TRUNK,53009,94009,08-10,09-13,11-14,13-19,
368,55,SBST,2,TRUNK,94009,53009,09-10,09-15,09-14,12-14,
369,55B,SBST,1,TRUNK,53009,54381,-,-,-,15-15,
370,56,SBST,1,TRUNK,53009,02099,10-11,10-18,13-14,13-17,
371,56,SBST,2,TRUNK,02099,53009,10-16,10-17,11-15,15-16,
372,57,SBST,1,TRUNK,53009,10009,08-12,10-18,13-16,13-17,
373,57,SBST,2,TRUNK,10009,53009,09-15,08-17,09-15,14-18,
374,58,SBST,1,TRUNK,53009,77009,07-10,07-17,11-13,17-18,
375,58,SBST,2,TRUNK,77009,53009,08-10,08-19,07-14,15-17,
376,58A,SBST,1,TRUNK,62131,75351,-,-,-,-,
377,58B,SBST,1,TRUNK,77009,70281,-,-,-,-,
378,59,SBST,1,TRUNK,53009,99009,09-10,08-17,13-17,15-17,
379,59,SBST,2,TRUNK,99009,53009,10-13,08-16,08-19,14-19,
380,5N,SBST,1,NIGHT SERVICE,02099,27159,-,-,-,40-40,
381,60,SBST,1,TRUNK,82009,82009,06-10,05-10,05-12,06-16,Bedok Nth Dr
382,60A,SBST,1,TRUNK,82009,84511,-,-,10-14,11-52,
383,63,SBST,1,TRUNK,82009,82009,07-09,09-16,08-14,09-14,Jln Rumah Tinggi
384,63M,SBST,1,TRUNK,82009,82009,08-14,11-18,14-16,10-14,Circuit Rd
385,64,SBST,1,TRUNK,80289,80289,10-12,12-16,14-17,13-16,Mei Ling St
386,65,SBST,1,TRUNK,75009,14009,09-10,08-16,10-11,10-15,
387,65,SBST,2,TRUNK,14009,75009,08-10,08-12,10-13,07-15,
388,655,SBST,1,CITY_LINK,20129,03391,15-15,-,-,-,
389,655,SBST,2,CITY_LINK,03539,20121,-,-,15-15,-,
390,660,SBST,1,EXPRESS,66481,03218,06-07,-,-,-,
391,660,SBST,2,EXPRESS,03241,66489,-,-,15-15,-,
392,69,SBST,1,TRUNK,75009,75009,06-08,05-12,06-09,09-13,Bedok Nth Dr
393,6N,SBST,1,NIGHT SERVICE,02099,65201,-,-,-,30-30,
394,7,SBST,1,TRUNK,84009,17009,09-11,06-12,09-14,09-12,
395,7,SBST,2,TRUNK,17009,84009,09-11,07-14,07-12,08-13,
396,70,SBST,1,TRUNK,55509,03239,06-07,07-12,06-07,-,
397,70,SBST,2,TRUNK,03239,55509,08-12,07-13,07-09,09-09,
398,70A,SBST,1,TRUNK,55509,02171,-,-,-,15-15,Temasek Ave
399,70B,SBST,1,TRUNK,55101,66359,13-32,58-58,-,-,
400,70M,SBST,1,TRUNK,55509,55509,14-15,14-15,14-14,14-15,Temasek Ave
401,71,SBST,1,TRUNK,55509,55509,12-12,15-15,12-15,12-15,Bishan St 11
402,72,SBST,1,TRUNK,55509,75009,03-10,02-12,04-06,08-14,
403,72,SBST,2,TRUNK,75009,55509,05-08,02-12,02-07,04-13,
404,72A,SBST,1,TRUNK,55509,64549,11-48,-,-,-,
405,72B,SBST,1,TRUNK,55509,54481,02-03,02-04,-,-,
406,73,SBST,1,TRUNK,54009,54009,10-14,10-12,10-13,11-13,Lor 6 Toa Payoh
407,73A,SBST,1,TRUNK,54009,52009,-,-,-,10-10,Lor 6 Toa Payoh
408,74,SBST,1,TRUNK,64009,11379,05-13,04-14,05-10,09-13,
409,74,SBST,2,TRUNK,11379,64009,07-13,04-14,07-09,10-12,
410,74e,SBST,1,EXPRESS,64009,11379,15-15,-,-,-,
411,74e,SBST,2,EXPRESS,11379,64009,-,-,15-15,-,
412,76,SBST,1,TRUNK,55509,82009,10-11,11-14,10-14,14-15,
413,76,SBST,2,TRUNK,82009,55509,09-11,10-14,10-11,10-15,
414,7A,SBST,1,TRUNK,84009,09022,20-22,17-35,19-28,25-35,
415,7B,SBST,1,TRUNK,17009,08057,16-23,14-30,20-23,28-32,
416,8,SBST,1,TRUNK,75009,52009,04-07,04-13,06-08,07-14,
417,8,SBST,2,TRUNK,52009,75009,05-07,05-14,06-07,06-16,
418,80,SBST,1,TRUNK,67009,14009,05-16,08-18,13-17,13-17,
419,80,SBST,2,TRUNK,14009,67009,08-14,12-20,10-17,13-17,
420,800,SBST,1,FEEDER,59009,59009,05-07,05-08,05-06,05-09,Sembawang Rd
421,803,SBST,1,FEEDER,59009,59009,05-07,06-08,04-08,04-08,Yishun Ave 6
422,804,SBST,1,FEEDER,59009,59009,05-05,05-06,04-06,05-10,Yishun Ave 11
423,805,SBST,1,FEEDER,59009,59009,06-06,07-09,06-08,06-10,Yishun Ave 1
424,806,SBST,1,FEEDER,59009,59009,03-05,04-05,03-05,04-11,Yishun Ave 6
425,807,SBST,1,FEEDER,59009,59009,04-05,03-07,03-05,04-13,Yishun St 71
426,807A,SBST,1,FEEDER,59009,59569,05-31,05-05,-,-,
427,80A,SBST,1,TRUNK,67009,81089,12-28,16-27,-,-,
428,81,SBST,1,TRUNK,75009,75009,10-12,07-12,07-14,13-18,S'goon Ctrl
429,811,SBST,1,FEEDER,59009,59009,04-06,04-07,04-06,04-07,Yishun Ave 5
430,811A,SBST,1,FEEDER,59009,59159,-,-,04-16,08-25,Sembawang Rd
431,812,SBST,1,FEEDER,59009,59009,05-06,04-07,06-07,06-12,Yishun Ave 4
432,850E,SBST,1,EXPRESS,59581,03218,05-08,-,-,-,
433,850E,SBST,2,EXPRESS,03222,59579,-,-,15-15,-,
434,851,SBST,1,TRUNK,59009,10009,08-09,08-10,10-12,10-12,
435,851,SBST,2,TRUNK,10009,59009,09-10,08-12,08-09,10-11,
436,851e,SBST,1,EXPRESS,59009,05019,20-30,20-30,20-30,20-30,
437,851e,SBST,2,EXPRESS,05012,59009,20-20,20-30,20-20,30-30,
438,852,SBST,1,TRUNK,59009,43009,11-13,12-14,12-13,12-14,
439,852,SBST,2,TRUNK,43009,59009,12-13,12-14,12-13,12-13,
440,86,SBST,1,TRUNK,67009,54009,08-12,08-13,08-11,10-15,
441,86,SBST,2,TRUNK,54009,67009,11-14,08-13,08-12,10-17,
442,860,SBST,1,TRUNK,59009,59009,10-10,12-12,09-12,09-12,Ang Mo Kio Ave 8
443,87,SBST,1,TRUNK,67009,84009,04-07,03-14,04-09,04-17,
444,87,SBST,2,TRUNK,84009,67009,04-09,03-14,04-15,15-17,
445,88,SBST,1,TRUNK,77009,52009,06-09,06-13,07-10,08-13,
446,88,SBST,2,TRUNK,52009,77009,08-10,05-14,06-09,09-14,
447,88A,SBST,1,TRUNK,65069,54269,15-15,-,-,-,
448,88B,SBST,1,TRUNK,54261,66471,11-29,-,-,-,
449,89,SBST,1,TRUNK,64009,64009,07-12,07-15,09-16,14-16,Airport Cargo Rd
450,89A,SBST,1,TRUNK,77289,95039,26-34,-,-,-,Airport Cargo Rd
451,89e,SBST,1,EXPRESS,64009,95049,11-12,-,-,-,
452,89e,SBST,2,EXPRESS,95051,64009,-,-,12-12,-,
453,9,SBST,1,TRUNK,84009,84009,05-09,06-12,07-15,12-23,Airport Cargo Rd
454,90,SBST,1,TRUNK,52009,52009,17-19,10-26,9-16,19-32,Airport Rd
455,90A,SBST,1,TRUNK,52009,71189,13-46,17-17,-,-,Airport Rd
456,91,SBST,1,TRUNK,11379,11389,8-15,08-19,10-11,10-12,Ayer Rajah Cres
457,92,SBST,1,TRUNK,11009,11009,10-14,5-23,6-12,9-10,Science Pk Dr
458,92A,SBST,1,TRUNK,11009,11351,-,-,05-42,20-20,Science Pk Dr
459,92B,SBST,1,TRUNK,11009,18281,04-31,06-57,-,15-15,
460,92M,SBST,1,TRUNK,11009,11009,11-13,12-13,12-13,-,Nth Buona Vista Rd
461,93,SBST,1,TRUNK,14009,82009,13-15,10-18,11-14,14-19,
462,93,SBST,2,TRUNK,82009,14009,11-13,13-19,14-15,13-16,
463,94,SBST,1,TRUNK,82009,82009,9-24,9-26,14-17,14-14,Airport Rd
464,94A,SBST,1,TRUNK,82009,73019,11-12,-,-,-,Airport Rd
465,95,SBST,1,TRUNK,16009,16009,09-10,07-12,07-18,11-15,Holland Rd
466,95B,SBST,1,TRUNK,16009,11361,-,-,27-37,-,
467,99,SBST,1,TRUNK,17009,24009,06-07,05-12,05-09,08-12,
468,99,SBST,2,TRUNK,24009,17009,06-08,05-11,07-08,07-12,
469,9A,SBST,1,TRUNK,84009,98011,-,-,-,34-34,
470,CT18,SBST,1,FLAT FARE $2.00,84211,10499,-,28-38,-,-,
471,CT18,SBST,2,FLAT FARE $2.00,10499,84219,-,27-32,-,-,
472,CT8,SBST,1,FLAT FARE $2.00,55159,10499,-,11-36,-,-,
473,CT8,SBST,2,FLAT FARE $2.00,10499,55151,-,20-35,-,-,
474,110,SMRT,1,TRUNK,67759,67759,09-10,08-12,11-13,10-13,PTB2 Basement
475,167,SMRT,1,TRUNK,58009,10009,10,09-15,15-16,13-15,
476,167,SMRT,2,TRUNK,10009,58009,12-14,08-15,08-16,12-16,
477,167e,SMRT,1,EXPRESS,58009,03218,20-30,30,30,30,
478,167e,SMRT,2,EXPRESS,03223,58009,30,30,20-30,20-30,
479,169,SMRT,1,TRUNK,46009,54009,02-08,05-09,06-07,10,
480,169,SMRT,2,TRUNK,54009,46009,06-08,05-09,05-07,06-10,
481,169A,SMRT,1,TRUNK,46009,59073,17,-,-,-,
482,169B,SMRT,1,TRUNK,46009,46711,33,-,-,-,
483,171,SMRT,1,TRUNK,59009,02089,10-13,10-14,10-15,11-15,
484,171,SMRT,2,TRUNK,02099,59009,10-11,10-13,10-11,11-13,
485,172,SMRT,1,TRUNK,44009,22009,06-07,05-14,07-09,10-12,
486,172,SMRT,2,TRUNK,22009,44009,06-07,05-14,07-09,09-14,
487,176,SMRT,1,TRUNK,45009,10009,06-09,06-11,10-11,09-15,
488,176,SMRT,2,TRUNK,10009,45009,08-09,07-12,07-08,08-13,
489,178,SMRT,1,TRUNK,46009,22009,06-14,07-15,14-16,14-17,
490,178,SMRT,2,TRUNK,22009,46009,14-15,12-15,14-15,15-17,
491,178A,SMRT,1,TRUNK,46009,45139,14-42,-,-,-,
492,180,SMRT,1,TRUNK,22009,22009,04-09,08-13,05-11,10-12,Bt Panjang Rd
493,180A,SMRT,1,TRUNK,22009,44259,-,-,24-52,10,
494,184,SMRT,1,TRUNK,00481,00481,06-08,06-09,06-09,07-11,C'wealth Ave West
495,187,SMRT,1,TRUNK,46009,22009,07-09,05-11,07-13,09-13,
496,187,SMRT,2,TRUNK,22009,46009,06-08,06-10,06-09,07-13,
497,188,SMRT,1,TRUNK,44009,14009,05-10,07-16,07-13,13-14,
498,188,SMRT,2,TRUNK,14009,44009,09-14,07-16,07-08,08-14,
499,188e,SMRT,1,EXPRESS,44009,14009,15,-,-,-,
500,188R,SMRT,1,EXPRESS,44009,14519,35,30-35,30-33,27-31,
501,188R,SMRT,2,EXPRESS,14519,44009,-,30-33,28-33,30-33,
502,190,SMRT,1,TRUNK,44009,10499,02-05,04-07,06-07,07-11,
503,190,SMRT,2,TRUNK,10499,44009,08-11,04-07,04-06,05-08,
504,190A,SMRT,1,TRUNK,44009,08057,04-24,-,-,-,
505,300,SMRT,1,FEEDER,44009,44009,04-05,03-06,04,04-10,Choa Chu Kang Ave 3
506,301,SMRT,1,FEEDER,44009,44009,06-08,06-09,06-08,07-10,Keat Hong Cl
507,302,SMRT,1,FEEDER,44009,44009,03-05,04-06,04-06,06-10,Choa Chu Kang Cres
508,302A,SMRT,1,FEEDER,45321,45329,06-13,-,06-24,-,
509,307,SMRT,1,FEEDER,44009,44009,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
510,307,SMRT,2,FEEDER,,,05-07,04-09,06-07,07-12,Choa Chu Kang St 62
511,307A,SMRT,1,FEEDER,44009,44531,10-15,10-32,10-12,10-34,Choa Chu Kang St 62
512,61,SMRT,1,TRUNK,43009,82009,07-09,09-14,10-13,10-15,
513,61,SMRT,2,TRUNK,82009,43009,08-13,09-15,08-15,11-15,
514,653,SMRT,1,CITY_LINK,43811,03391,10,-,-,-,
515,653,SMRT,2,CITY_LINK,03539,43268,-,-,15,-,
516,656,SMRT,1,EXPRESS,58121,03218,10,-,-,-,
517,656,SMRT,2,EXPRESS,03241,58129,-,-,15,-,
518,657,SMRT,1,CITY_LINK,28539,03391,15,-,-,-,
519,657,SMRT,2,CITY_LINK,03539,28531,-,-,15,-,
520,67,SMRT,1,TRUNK,44009,75009,06-09,07-12,08-11,09-13,
521,67,SMRT,2,TRUNK,75009,44009,07-09,06-11,08-12,09-12,
522,67A,SMRT,1,TRUNK,44009,41049,-,77,-,-,
523,67W,SMRT,1,TRUNK,75009,40011,-,77,-,-,
524,700,SMRT,1,TRUNK,00481,03218,04-10,10-13,10-12,-,
525,700,SMRT,2,TRUNK,03239,00481,13,09-13,10-11,11,
526,700A,SMRT,1,TRUNK,00481,00481,11-12,11-12,12,10-13,Temasek Ave
527,75,SMRT,1,TRUNK,00481,02089,04-09,08-14,11-14,13-16,
528,75,SMRT,2,TRUNK,02099,00481,09-12,07-13,08-15,13-15,
529,75A,SMRT,1,TRUNK,00481,12099,-,-,-,-,
530,825,SMRT,1,TRUNK,55509,55509,08-11,10-20,09-13,09-10,Lentor Loop
531,853,SMRT,1,TRUNK,59009,80009,10-14,09-15,10-15,14-18,
532,853,SMRT,2,TRUNK,80009,59009,10-14,10-16,10-13,16-18,
533,853C,SMRT,1,TRUNK,59009,94009,11-13,09-14,12-14,14-15,
534,853C,SMRT,2,TRUNK,94009,59009,12-18,10-15,12-14,13-15,
535,854,SMRT,1,TRUNK,59009,84009,05-07,05-11,07,07-12,
536,854,SMRT,2,TRUNK,84009,59009,04-08,05-11,06-07,07-13,
537,854e,SMRT,1,EXPRESS,59009,84009,15-24,-,-,-,
538,855,SMRT,1,TRUNK,59009,14009,10-11,10-15,13-15,12-15,
539,855,SMRT,2,TRUNK,14009,59009,12-13,09-14,12-13,12-14,
540,856,SMRT,1,TRUNK,59009,46009,05-06,05-10,05-07,05-11,
541,856,SMRT,2,TRUNK,46009,59009,04-06,05-11,03-07,02-11,
542,856A,SMRT,1,TRUNK,46009,46069,-,-,30-40,-,
543,857,SMRT,1,TRUNK,59009,59009,03-07,05-09,06-10,08-10,Temasek Ave
544,857A,SMRT,1,TRUNK,59009,55081,12,-,-,-,
545,858,SMRT,1,TRUNK,46009,46009,05-09,05-09,05-09,06-10,PTB2 Basement
546,858A,SMRT,1,TRUNK,46009,59073,-,-,-,11,
547,859,SMRT,1,TRUNK,58009,58009,08-10,08-12,10-11,12-13,Yishun Temp Int
548,859A,SMRT,1,TRUNK,58009,58009,08-20,08-36,10-22,12-25,Admiralty Link
549,859B,SMRT,1,TRUNK,58009,58009,08-24,08-25,09-22,11-24,Sembawang Cres
550,860A,SMRT,1,TRUNK,59009,59569,04-10,-,-,-,
551,868E,SMRT,1,EXPRESS,43581,02161,15,-,-,-,
552,882,SMRT,1,TRUNK,58009,58009,13-17,13-17,14-18,12-17,Sembawang Rd
553,882A,SMRT,1,TRUNK,58009,58501,-,-,20-41,-,
554,883,SMRT,1,TRUNK,58009,58009,07-09,09-13,07-12,07-20,Yishun Ctrl 2
555,883B,SMRT,1,TRUNK,59079,58539,-,-,-,22-26,
556,900,SMRT,1,FEEDER,46009,46009,06-08,05-09,08,06-15,Woodlands Dr 14
557,900A,SMRT,1,FEEDER,46009,46009,06-08,06-09,08-10,-,Woodlands Dr 17
558,901,SMRT,1,FEEDER,46009,46009,02-08,06-12,08-09,08-15,Woodlands Ave 6
559,902,SMRT,1,FEEDER,46009,46269,03-09,02-07,-,-,
560,903,SMRT,1,FEEDER,46009,46009,05-09,06-09,06-08,07-14,Woodlands Ctr Rd
561,903M,SMRT,1,FEEDER,46009,46009,24,-,21-22,-,Marsiling Lane
562,904,SMRT,1,FEEDER,46009,46009,09-10,09-13,09-13,11-15,Woodlands Cres
563,911,SMRT,1,FEEDER,46009,46009,02-06,05-11,04-06,02-12,Woodlands Ave 2
564,912,SMRT,1,FEEDER,46009,46009,23-27,21-25,22-25,19-25,Woodlands Ave 7
565,912A,SMRT,1,FEEDER,46009,46008,05-06,07-09,06-09,06-10,Woodlands Ave 7
566,912B,SMRT,1,FEEDER,46008,46009,01-12,08-11,04-11,08-11,Woodlands Ctr Rd
567,912M,SMRT,1,FEEDER,46008,46009,20,-,20,-,Woodlands St 41
568,913,SMRT,1,FEEDER,46009,46009,03-07,02-07,02-07,03-10,Woodlands Circle
569,913,SMRT,2,FEEDER,,,03-07,02-07,02-07,03-10,Woodlands Circle
570,913M,SMRT,1,FEEDER,46009,46009,15-20,15-20,15-20,20,Woodlands St 13
571,920,SMRT,1,FEEDER,45009,45009,06,05-09,05-07,06-11,Bangkit Rd
572,922,SMRT,1,FEEDER,45009,45009,06-08,06-10,06-07,07-11,Bangkit Rd
573,925,SMRT,1,TRUNK,46009,44009,07-10,07-14,11-13,11,
574,925,SMRT,2,TRUNK,44009,46009,09-11,09-14,09,09-10,
575,925C,SMRT,1,TRUNK,46009,46009,10-11,10-12,10-13,13,Neo Tiew Cres
576,926,SMRT,1,TRUNK,46009,46009,-,-,-,10-15,Mandai Lake Rd
577,927,SMRT,1,TRUNK,44009,44009,13,12-17,13-14,13-18,Mandai Lake Rd
578,944,SMRT,1,FEEDER,43009,43009,12,13-16,12,15-16,Bt Batok Rd
579,950,SMRT,1,TRUNK,46009,46009,11-12,09-13,11-13,11-12,Jln Jim Quee
580,951E,SMRT,1,EXPRESS,46449,03218,06-08,-,-,-,
581,951E,SMRT,2,EXPRESS,03222,46441,-,-,15,-,
582,960,SMRT,1,TRUNK,46009,02099,08-09,08-12,10-12,10-11,
583,960,SMRT,2,TRUNK,02099,46009,10-11,08-11,08-09,09-11,
584,960e,SMRT,1,EXPRESS,46009,02099,20-30,30,30,30,
585,960e,SMRT,2,EXPRESS,02099,46009,30,30,20-30,20-30,
586,961,SMRT,1,TRUNK,46009,80009,07-11,07-15,11-15,12-15,
587,961,SMRT,2,TRUNK,80009,46009,11-13,08-13,08-12,11-16,
588,961C,SMRT,1,TRUNK,46009,80009,12-14,10-12,11-14,14-15,
589,961C,SMRT,2,TRUNK,80009,46009,14,08-13,13-14,14-16,
590,962,SMRT,1,TRUNK,46009,46009,07-08,05-10,07-08,09-10,Admiralty St
591,962B,SMRT,1,TRUNK,58259,58251,29-31,-,26-34,-,
592,962C,SMRT,1,TRUNK,47571,47591,08-09,-,-,-,
593,963,SMRT,1,TRUNK,46009,14009,06-13,05-14,07-13,12-15,
594,963,SMRT,2,TRUNK,14009,46009,08-15,06-13,06-08,08-13,
595,963e,SMRT,1,EXPRESS,46009,14009,20,-,-,-,
596,963e,SMRT,2,EXPRESS,14009,46009,-,-,30,-,
597,963R,SMRT,1,EXPRESS,46009,14519,32-35,30-33,32-33,32-35,
598,963R,SMRT,2,EXPRESS,14519,46009,-,27-33,30-31,30-33,
599,964,SMRT,1,TRUNK,46009,46009,04-05,04-08,04-06,05-11,Nth Woodlands Link
600,965,SMRT,1,TRUNK,46009,46009,04-12,08-14,09-10,10-17,Sengkang Sq
601,965A,SMRT,1,TRUNK,46009,59073,08-10,-,-,-,
602,966,SMRT,1,TRUNK,46009,46009,06-10,07-14,07-16,15-17,Marine Parade Rd
603,969,SMRT,1,TRUNK,46009,75009,04-08,05-10,05-09,09-12,
604,969,SMRT,2,TRUNK,75009,46009,03-07,05-10,05-07,03-10,
605,969A,SMRT,1,TRUNK,75009,59079,-,-,08-13,,
606,970,SMRT,1,TRUNK,45009,03218,11-16,10-16,10-16,16-17,
607,970,SMRT,2,TRUNK,03239,45009,13-14,10-15,10-11,11-16,
608,971E,SMRT,1,EXPRESS,00481,03021,06-07,-,-,-,
609,971E,SMRT,2,EXPRESS,03223,00481,-,-,10-15,-,
610,972,SMRT,1,TRUNK,45009,45009,04-05,04-10,05-08,08-10,Bencoolen St
611,972A,SMRT,1,TRUNK,45009,08057,-,-,-,15,
612,973,SMRT,1,TRUNK,45009,45009,10-13,12,10-12,10-15,Hume Ave
613,973A,SMRT,1,TRUNK,45009,44229,-,-,-,20,
614,975,SMRT,1,TRUNK,45009,45009,07,07-11,06-09,09-12,Lim Chu Kang Rd
615,975B,SMRT,1,TRUNK,44531,33041,12-44,-,08-28,09-80,
616,979,SMRT,1,TRUNK,45009,45009,04-06,05-08,05-06,06-09,Choa Chu Kang Cres
617,980,SMRT,1,TRUNK,58009,80009,12-15,14-17,14-18,15-18,
618,980,SMRT,2,TRUNK,80009,58009,15-16,14-17,16-17,14-16,
619,981,SMRT,1,TRUNK,58009,47199,12-15,13-15,-,-,
620,981,SMRT,2,TRUNK,47121,58009,-,-,18-20,17-20,
621,982E,SMRT,1,EXPRESS,44589,03391,15,-,-,-,
622,982E,SMRT,2,EXPRESS,03539,44581,-,-,15,-,
623,983,SMRT,1,TRUNK,44009,44009,05-06,06-08,05-07,06-09,Jelebu Rd
624,983A,SMRT,1,TRUNK,44009,44131,-,-,-,15-20,
625,985,SMRT,1,TRUNK,44009,80009,08-10,09-11,11,11-12,
626,985,SMRT,2,TRUNK,80009,44009,09-10,09-13,10,11-12,
627,991,SMRT,1,TRUNK,43009,44009,10-12,11-13,10-12,10-15,
628,991,SMRT,2,TRUNK,44009,43009,10-12,12-13,10-12,10-19,
629,991A,SMRT,1,TRUNK,43009,43341,-,-,-,15,
630,991B,SMRT,1,TRUNK,44009,44099,-,-,-,18-19,
631,BPS1,SMRT,1,TRUNK,44699,44009,20,-,-,-,
632,BPS1,SMRT,2,TRUNK,44539,44691,-,-,20,-,
633,NR1,SMRT,1,NIGHT RIDER,14519,59561,-,-,-,25-25,Yishun Ring Rd
634,NR2,SMRT,1,NIGHT RIDER,02099,58291,-,-,-,30-30,Sembawang Dr
635,NR3,SMRT,1,NIGHT RIDER,05029,44009,-,-,-,30,
636,NR5,SMRT,1,NIGHT RIDER,02099,22449,-,-,-,30,
637,NR6,SMRT,1,NIGHT RIDER,14519,67171,-,-,-,29-29,Anchorvale Dr
638,NR7,SMRT,1,NIGHT RIDER,02099,98029,-,-,-,29,
639,NR8,SMRT,1,NIGHT RIDER,02099,43609,-,-,-,29-29,Bt Batok West Ave 5
640,106,TTS,1,TRUNK,43009,03218,06-09,06-12,10-10,10-13,
641,106,TTS,2,TRUNK,03239,43009,08-10,07-12,07-12,11-12,
642,106A,TTS,1,TRUNK,43009,17179,13-45,-,-,-,
643,143,TTS,1,TRUNK,52009,28009,08-09,08-13,10-14,13-14,
644,143,TTS,2,TRUNK,28009,52009,08-10,08-13,12-13,12-13,
645,143M,TTS,1,TRUNK,28009,28009,13-15,14-16,14-16,14-16,Pandan Gdns
646,173,TTS,1,TRUNK,43009,43009,08-12,09-14,09-10,15-15,Clementi Ave 3
647,173A,TTS,1,TRUNK,43009,43169,-,-,-,15-15,Bt Batok East Ave 4
648,177,TTS,1,TRUNK,43009,43009,13-15,12-15,12-12,-,Jelebu Rd
649,183,TTS,1,TRUNK,28009,28009,05-08,05-15,06-09,16-19,Science Pk Rd
650,183B,TTS,1,TRUNK,28009,28189,03-08,03-13,-,-,
651,189,TTS,1,TRUNK,43009,43009,06-08,05-11,07-11,10-12,Clementi Ave 1
652,189A,TTS,1,TRUNK,43009,43319,06-15,07-13,-,15-20,Bt Batok St 23
653,282,TTS,1,FEEDER,17009,17009,08-10,10-12,07-10,08-12,Clementi West St 2
654,284,TTS,1,FEEDER,17009,17009,05-06,06-08,04-06,04-07,Clementi Ave 4
655,285,TTS,1,FEEDER,17009,17009,05-06,05-12,05-06,06-14,Pandan Loop
656,333,TTS,1,FEEDER,28009,28009,07-09,08-12,08-08,08-12,Jurong East St 32
657,334,TTS,1,FEEDER,28009,28009,05-06,06-10,05-06,05-12,Jurong West St 42
658,335,TTS,1,FEEDER,28009,28009,07-08,07-13,07-08,07-14,Jurong West St 41
659,41,TTS,1,TRUNK,28009,28009,10-12,13-15,11-15,12-15,Jln Anak Bt
660,49,TTS,1,TRUNK,28009,28009,09-10,10-14,09-14,10-12,Jurong West St 42
661,66,TTS,1,TRUNK,84009,28009,09-11,10-17,12-16,15-16,
662,66,TTS,2,TRUNK,28009,84009,09-12,10-16,12-16,10-16,
663,663,TTS,1,EXPRESS,59591,03218,15 -15,-,-,-,
664,663,TTS,2,EXPRESS,03241,59599,-,-,15 -15,-,
665,665,TTS,1,EXPRESS,46141,03218,08 -08,-,-,-,
666,665,TTS,2,EXPRESS,03241,46149,-,-,15 -15,-,
667,66A,TTS,1,TRUNK,84009,40011,-,-,-,-,
668,66B,TTS,1,TRUNK,60139,28009,-,-,-,-,
669,66B,TTS,2,TRUNK,28009,07031,-,-,-,-,
